name,title,content,link,created_at,updated_at
Westhouse Group,Business Analyst (m/w/d),"Westhouse ist eines der führenden internationalen Recruitment Unternehmen für die Vermittlung von hochqualifizierten Fachexperten in Bereichen wie IT Life Cycle, SAP, Engineering, Kaufmännischem und Fachberatung.

Für unseren Kunden suchen wir aktuell eine/n

Business Analyst (m/w/d) - Hamburg/ remote

Rahmeninformationen
• Referenz: 160899
• Start: 2023-02-01
• Dauer: full time
• Standort: Hamburg/ remote
• Arbeitsumfang: full-time

Ihre Qualifikationen
• Abgeschlossenes Studium der Statistik, Mathematik, Wirtschaftswissenschaften, Wirtschaftsinformatik oder vergleichbare Qualifikation
• Freude an der Analyse von komplexen Prozessen
• Praktische Erfahrung mit analytischen Methoden und dem Einsatz gängiger Analyse- und Statistik-Tools (bevorzugt: Python)
• Kenntnisse der Datenbanksprache SQL sowie praktische Erfahrung im Umgang mit relationalen Datenbanken ist von Vorteil
• Sicherer Umgang mit Microsoft Excel sowie idealerweise auch VBA
• Eigenständige, sorgfältige Arbeitsweise und sehr gute analytische und kommunikative Fähigkeiten

Ihre Aufgaben
• Entwicklung sowie Monitoring von Modellen (u.a. Scorecards, neuronale Netze)
• Unterstützung der Fachbereiche durch den Aufbau und die Weiterentwicklung von Reporting-Lösungen
• Ideenentwicklung und eigenverantwortliche Umsetzung zur weiteren Optimierung von Geschäftsprozessen
• Erstellen komplexer Business Intelligence Analysen sowie Reportings
• Erarbeitung und Evaluierung neuer analytischer Verfahren
• Austausch mit den Fachbereichen und Beratung bei komplexen, analytischen Fragestellungen

Das sind Ihre Benefits
• Eine attraktive Vergütung
• Flexible Arbeitszeiten (wie Gleitzeit, Remote Work)
• Vielseitige Mitarbeiter-Benefits (Kantine, HVVProfi-Card, Leistungsprämie, Firmenevents, Firmenrabatte)
• Zentrale Lage sowie eine sehr gute Anbindung an das öffentliche Verkehrsnetz
• Eine spannende und abwechslungsreiche Tätigkeit in einem zukunftssicheren Arbeitsumfeld
• Selbstständiges und eigenverantwortliches Arbeiten sowie eine individuelle und umfangreiche Einarbeitung

Interessiert?

Wir freuen uns auf Ihre aussagekräftigen Bewerbungsunterlagen in elektronischer Form.

Ihre Ansprechpartner

Justus von Lenthe
P: +49-40-3176773917
E: j.lenthe@westhouse-consulting.com",https://www.westhouse-group.com/joblisting/business-analyst-m-w-d-hamburg-remote/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-10 18:33:31.704990 +00:00,2023-03-15 15:12:48.771949 +00:00
M&F Engineering AG,Junior Software Engineer im Trainee-Programm 100%,"Willst Du erste Erfahrungen in der Software-Entwicklung sammeln, ohne Dich gleich festzulegen?

Lerne bei uns im Firmenübergreifenden Trainee-Programm in nur drei Jahren 4-6 Technologieunternehmen kennen und finde heraus, welche Arbeitsweisen und Technologien Dir persönlich zusagen. Parallel dazu profitierst Du von monatlichen Workshops und lehrreichen Mentorings. Am Ende des Programms hast Du die Qual der Wahl und kannst bei derjenigen Firma bleiben, wo es dir am besten gefallen hat.

DAS BIETEN WIR DIR
• eine Auswahl von über 20 Partnerfirmen aus unterschiedlichen Branchen
• herausfordernde und abwechslungsreiche Software-Projekte
• monatliche Workshops und professionelles Mentoring durch Senior Software Engineers
• Aufbau eines wertvollen Netzwerks und ein sehr breites Erfahrungsspektrum
• ein Salär von CHF 83‘000.–/Jahr plus Fahrspesen, Laptop und weitere Benefits

DAS BRINGST DU MIT
• Bachelor- oder Masterabschluss (ETH, Uni oder Fachhochschule)
• Erfahrungen in Objektorientierter Softwareentwicklung (Bsp. Java, C#, Python, C++)
• Freude an Software-Herausforderungen und Teamarbeit
• Flexibilität und Offenheit (regelmässiger Wechsel von Firma, Projekt, Team, Technologie, Arbeitsort)
• Sehr gute Deutsch- und gute Englischkenntnisse

INTERESSIERT ODER NOCH FRAGEN?

Du kannst jederzeit mit deinem persönlichen Trainee-Programm starten. Wir freuen uns auf Deine Bewerbung an .
Erfahre mehr übers Trainee-Programm telefonisch bei Rachel Blaser unter +41 44 747 44 33 oder online unter www.m-f.ch/tp

Hinweis: Für diese Stelle werden keine Bewerbungen über Personalvermittler berücksichtigt.

Stelleninserat

Broschüre Partnerfirmen

Tipps für Bewerber:innen",https://ingenieur-job.ch/job/junior-software-engineer-im-trainee-programm-100/3132593879?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-09 19:45:09.328465 +00:00,2023-03-09 21:32:14.917007 +00:00
Goodman Germany GmbH,Webentwicklung (Back- & Frontend) mit Python (m/w/d),"Webentwicklung (Back- & Frontend) mit Python (m/w/d)

Mein Kunde beschäftigt sich mit den Themen Sonne, Klimaschutz und Wirtschaftlichkeit – das sind die Themen, die in sie in der täglichen Arbeit begleiten. In unserem Technik-Team haben sie sich auf die Erhebung und Prognose erneuerbarer Energiepotenziale spezialisiert. Für beste Ergebnisse entwickeln sie ihre Software selbst und kombinieren die jeweils geeignetsten Datenquellen effizient zum Nutzen der Kunden. Aktuell wird ab sofort für den Standort in Dortmund oder Remote ein ""Webentwicklung (Back- & Frontend) mit Python"" in unbefristeter Festanstellung und in der Direktvermittlung gesucht.

Diese Aufgaben erwarten dich:
• Konzeption und eigenverantwortliche Entwicklung unserer (Web-)Applikationen rund um die Ermittlung von erneuerbaren Energiepotenzialen und weiteren Themen des Klimaschutzes
• Pflege und Entwicklung unserer Python Flask Apps sowie REST Schnittstellen
• Erstellung von mobilfähigen und responsiven Webseiten

Das bringst du mit:
• Umfassende Python Kenntnisse
• Kenntnisse im Umgang mit Flask-Applikationen
• Gutes mathematisches Verständnis
• Grundlegende Kenntnisse im Umgang mit Datenbanken (MySQL und PostgreSQL)
• Erfahrungen in den Bereichen HTML & CSS (inkl. gängiger JavaScript-Frameworks) von Vorteil
• Erfahrungen im responsiven Webdesign von Vorteil
• Teamplayer mit ausgeprägtem Maß an Eigeninitiative und Verantwortungsbewusstsein
• Strukturierte Arbeitsweise, analytische und konzeptionelle Denkweise

Diese Benefits erwarten dich :
• Möglichkeit auf 100% Remote
• Betriebliche Altersvorsorge, Jobrad und weitere Vorteile
• Weiterbildungsmöglichkeiten (Tetra Gym)
• Duz-Kultur und flache Hierarchien
• Verschiedene Teamevents

Ist dein Interesse geweckt? Dann bewirb dich unter Angabe der Referenznummer 131512. Dein Ansprechpartner für die Position ist Luca ( ",https://de.bebee.com/job/20230304-1e2fb68123246e3f8f69a52cece793e4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-09 12:06:38.630030 +00:00,2023-03-11 09:37:56.447494 +00:00
S&N Invent GmbH,Schülerpraktikum im IT-Bereich (w/m/d),"Wir bieten ein Schülerpraktikum im IT-Bereich (w/m/d) für den Standort Paderborn

Das erwartet Dich
• Ein Schülerpraktikum im IT-Bereich bietet eine Einführung in das Unternehmen
• Praxisbezogene Orientierung am Berufsbild eines Softwareentwicklers
• Einführung in die Programmiersprachen Python und Microsoft Visual C#
• Übungen zur Anwendung der neu erlernten Sprachelemente
• Umsetzung einer spannenden Anwendung im Rahmen eines agilen Entwicklungsprojekts
• Integration in das S&N-Invent-Ausbildungsteam
• Informationsaustausch mit aktuellen S&N-Invent-Auszubildenden/Studenten
• Einblicke in die verschiedenen Ausbildungsmöglichkeiten bei S&N-Invent
• Ein dynamisches und vielfältiges Praktikumsumfeld
• Ansprechpartner, die Dir fachlich und persönlich jederzeit zur Seite stehen

Dein Profil
• Besuch der Oberstufe (ab Klasse 10/EF)
• Gute Noten in den Fächern Mathematik und Informatik
• Leidenschaft für IT-Themen
• Fähigkeit, Gelerntes schnell und eigenverantwortlich umzusetzen
• Aufgeschlossenheit, Teamfähigkeit, Engagement, Zuverlässigkeit und Flexibilität

Was wir bieten

Durch ein Schülerpraktikum bei S&N Invent erfährst Du wie es ist bei uns zu arbeiten. Wir zeigen Dir den Arbeitsalltag eines Entwicklers, Beraters oder Service-Mitarbeiters und Du wirst bei uns auch schon die ersten Erfahrungen in der Programmierung sammeln. Solltest Du schon programmieren können – keine Sorge – auch für Dich halten wir weitere spannende Themen bereit. Nach dem Praktikum weißt Du dann vielleicht schon etwas besser, ob eine Ausbildung oder ein Studium bei S&N Invent für Dich in Frage kommen könnte.

Über uns

Die S&N Invent GmbH ist anerkannter Partner in der Konzeption, Realisierung und Bereitstellung von effizienten Softwarelösungen und -produkten und positioniert sich erfolgreich in anspruchsvollen Organisations-, Management- und Beratungsaufgaben. Methodisches Projektmanagement, häufig in agil arbeitenden Teams, umfassendes Qualitätsmanagement und ganzheitliche Projektverantwortung kennzeichnen unsere Projektarbeit.

Die S&N Invent GmbH gehört zur S&N Group. Insgesamt sind in den Gesellschaften der S&N Group ca. 480 feste Mitarbeiterinnen und Mitarbeiter an neun Standorten in Deutschland sowie dem Standort Budapest beschäftigt.

S&N Invent GmbH

Klingenderstr. 5

33100 Paderborn

Tel.: +49 5251 1581-0

Fax: +49 5251 1581-71",https://karriere.sn-invent.de/job/schuelerpraktikum-im-it-bereich-wmd-10-2021/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-10 04:14:56.431361 +00:00,2023-03-10 09:14:38.301909 +00:00
Rheinmetall Schweiz AG,Praktikant Engineering (a),"WOFÜR WIR SIE SUCHEN

In unserer Entwicklungsabteilung bieten wir laufend Möglichkeiten für einen 3-6 monatigen Einsatz. Sie erhalten Einblick in moderne Technologien, können in Projekten mitarbeiten und Verantwortung für Teilbereiche übernehmen. Sie lernen vielfältige und heraufordernde Tätigkeitsfelder kennen und erlangen somit praktische Erfahrungen aus der Berufsleben eines Entwicklungsingenieurs. Sie arbeiten möglicherweise in einem Projektteam und werden umfangreich durch unsere Experten betreut. Ihre Arbeitsergebnisse wie z.B. innovative Algorithmen, Prototypen oder Machbarkeitsstudien werden dann in die Serienproduktion übertragen.

Nachfolgend einige Beispiele von konkreten Tätigkeitgebieten, wo Sie unsere Ingenieure unterstützen können:
• AI / ML: Datengenerierung, Datenanalyse, Training von neuronalen Netzen, Detektion und Tracking von Objekten
• Robotik: Motion/Trajectory Planning Algorithmen, autonome Systeme
• Mechanik: Strukturberechnungen, Fluiddynamik, FEM / CFD Simulationen
• Control Systems: Modellierung, Simulation und Regelung von komplexen Systemen, Logik und Algorithmen für die Automatisierung von Abläufen, modellbasierte SW-Entwicklung
• Front-End Software Entwicklung: Bedienerfreundliche HMI / UI-Webinterfaces, Kommunikation zwischen verteilten und vernetzten Systemen, Tools für Datenerfassung und -Auswertung
• Embedded Software Entwicklung: Bare-Metal, Microcontroller, FPGA
• Elektronik: BLP-Prototypen, Inbetriebnahme und Testing
• Radar: SW-Testumgebung für Radarsysteme, HF Simulationen
• … und vieles mehr!

WAS SIE MITBRINGEN SOLLTEN
• Bachelor- oder Masterstudent ETH/FH in den Fachrichtungen Informatik, Elektrotechnik, Maschinenbau, Physik, Mathematik, Systemtechnik oder vergleichbar
• Selbständige und strukturierte Arbeitsweise, lösungsorientierter Denkansatz, Autodidakt
• Fachliche Kompetenz im Rahmen des ausgewählten Themas, Offenheit für neue Technologien
• Umgang mit den gängigsten Engineering-Tools und Programmiersprachen, je nach Praktikumsgebiet (z.B. Matlab/Simulink, C/C++, Linux, Python, Git, usw.)

WER WIR SIND

Digitalisierung, Vernetzung, Cyber – die Division Electronic Solutions deckt die gesamte Wirkungskette im Systemverbund von den Sensoren über Vernetzung von Plattformen und Soldaten bis zur (teil-) automatisierten Anbindung von Effektoren ab. Ergänzt wird dies durch Lösungen für den Schutz im Cyberraum. Weitere Handlungsfelder dieser Rheinmetall-Division sind umfassende Trainings- und Simulationslösungen, in die das Unternehmen über 40 Jahre Erfahrung einbringt. Dazu kommen Betreiberlösungen für Luftfahrzeuge. Die Division gliedert sich in die Business Units Air Defence & Radar Systems, Integrated Electronic Systems und Technical Publications.

Die börsennotierte Rheinmetall AG als integrierter Technologiekonzern mit seinen weltweit über 25.000 Mitarbeiterinnen und Mitarbeiter steht für ein substanzstarkes, international erfolgreich operierendes Unternehmen, das mit einem innovativen Produkt- und Leistungsspektrum auf unterschiedlichen Märkten aktiv ist. Als namhafter Entwicklungspartner und Direktzulieferer der globalen Automobilindustrie und als führendes internationales Systemhaus für Sicherheitstechnologie greift Rheinmetall gestützt auf die hohe Expertise in seinen Basistechnologien langfristige Megatrends auf, identifiziert zukunftsfähige neue Märkte mit hohem Wachstumspotenzial und entwickelt innovative Lösungen für eine sichere und lebenswerte Zukunft. Die Ausrichtung auf Nachhaltigkeit ist integraler Bestandteil der Rheinmetall-Strategie. Bis 2035 will das Unternehmen CO2-Neutralität erreichen",https://ch.linkedin.com/jobs/view/praktikant-engineering-a-at-rheinmetall-3476602221?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-10 02:55:25.527571 +00:00,2023-03-13 16:01:55.061806 +00:00
CENTOGENE GmbH,"Python Developer (m/f/d) in Rostock, Berlin, Belgrade or Remote","Welcome to CENTOGENE!
CENTOGENE’s mission is to provide data-driven, life-changing answers to patients, physicians, and pharma companies for rare and neurodegenerative diseases. We integrate multiomic technologies with the CENTOGENE Biodatabank – providing dimensional analysis to guide the next generation of precision medicine. Our unique approach enables rapid and reliable diagnosis for patients, supports a more precise physician understanding of disease states, and accelerates and de-risks targeted pharma drug discovery, development, and commercialization.

How do we do this? By bringing together more than 400 individuals from 50 different countries at our HQ in Rostock, Germany, as well as our offices in Berlin, Belgrade, and laboratory facilities in Cambridge, MA. Our employees are medical experts, scientists, IT professionals, bioinformaticians, technicians, researchers, project managers, and many more – and are all passionate about supporting our company vision : A world healed of all rare and neurodegenerative diseases.

Does this sound like you? If it does, we’d love to hear from you!
Welcome to CENTOGENE!
CENTOGENE’s mission is to provide data-driven, life-changing answers to patients, physicians, and pharma companies for rare and neurodegenerative diseases. We integrate multiomic technologies with the CENTOGENE Biodatabank – providing dimensional analysis to guide the next generation of precision medicine. Our unique approach enables rapid and reliable diagnosis for patients, supports a more precise physician understanding of disease states, and accelerates and de-risks targeted pharma drug discovery, development, and commercialization.

How do we do this? By bringing together more than 400 individuals from 50 different countries at our HQ in Rostock, Germany, as well as our offices in Berlin, Belgrade, and laboratory facilities in Cambridge, MA. Our employees are medical experts, scientists, IT professionals, bioinformaticians, technicians, researchers, project managers, and many more – and are all passionate about supporting our company vision : A world healed of all rare and neurodegenerative diseases.

Does this sound like you? If it does, we’d love to hear from you!
You have the following skills and qualifications:
• At least 5+ years’ experience working with Python and SQL, preferably with background in Biology, Medicine, or Genetics. NGS knowledge is a plus
• Experience with python packages: Numpy, Pandas, sqlalchemy, Pydantic, FastAPI, Django and Flask.
• Deep understanding of Python-application structure and organization
• Experienced with software architecture
• Experience with CI/CD Tools and command line (Jenkins, Terraform, Ansible, Git)
• Must have experience with scalable cloud environments (AWS preferred).
• Strong verbal, written and interpersonal communication skills, combined with good team spirit
• Ability to set priorities, meet timelines and company objectives
Your tasks will be:

We are looking for python developer to join in the R & D bioinformatics team. You will be responsible for developing new pipelines and improving current algorithms.
• Guiding the development of diagnostic tools and applications
• Implementing new and improving existing features in our software stack
• Monitor automated data processing pipelines
• Coordinate and plan new diagnostic methods with stakeholders, medical experts, and the diagnostics team
• Ensuring a high quality of the developed software and the corresponding documentation
Those advantages are waiting for you at CENTOGENE:
• Talents are individually supported by internal and external trainings (Coursera)
• An international career in a multicultural environment
• Regular company events form us as one team
• In house yoga classes, back exercises and a fitness area are available for free
• Bike leasing or job tickets allow an environmentally friendly and reasonable travel to work
• In case of language barriers we offer German and English classes to help you get going
• Precaution and financial protection guaranteed by company pension scheme

Applications from severely disabled people with appropriate suitability are explicitly welcome. Severely disabled applicants and equivalent status are given preferential consideration in the event of equal qualification",https://career.centogene.com/de?id=227441&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-08 07:06:40.029000 +00:00,2023-03-10 03:53:37.093082 +00:00
Hella,ABSCHLUSSARBEIT MIT PRAKTIKUM MACHINE LEARNING ZUR ERKENNUNG VON...,"ABSCHLUSSARBEIT MIT PRAKTIKUM MACHINE LEARNING ZUR ERKENNUNG VON FAHRZEUGEN IM STRAENVERKEHR
Standort Lippstadt, Germany

Pacesetting. Passionate. Together. Seit 1899 pragt HELLA als einer der fuhrenden Automobilzulieferer weltweit die Branche mit innovativen Lichtsystemen und Fahrzeugelektronik. Daneben ist das Unternehmen einer der wichtigsten Partner des Ersatzteilehandels sowie der freien Werkstatten. Unser Antrieb: die Mobilitat von Morgen zu gestalten und die zentralen Markttrends wie Autonomes Fahren, Effizienz und Elektrifizierung, Konnektivitat und Digitalisierung sowie Individualisierung voranzutreiben. Dafur setzen sich taglich weltweit 36.000 Mitarbeiterinnen und Mitarbeiter mit Leidenschaft, Know-how und Innovationskraft ein.

IHRE AUFGABEN

Bei HELLA unterstutzenSie uns im Forschungsinstitut fur Lichttechnik und Mechatronik L-LAB. DieKooperation aus Hochschulen und HELLA befasst sich mit der Grundlagenforschungund Technologieentwicklung im Scheinwerferbereich.
• Sie arbeiten an einem NeuronalenNetzwerk zur Erkennung von Fahrzeugen anHand von Lichtquellen
• Sie starten mit der Nutzung vonbereits existierender Trainingsdaten
• Die Erstellung neuer Datensatze imRahmen von Fahrten mit dem Versuchsfahrzeug gehort ebenso zu IhremTatigkeitsfeld
• Im Rahmen der Arbeit stehen IhnenKamera- sowie potente Computersysteme zur Verfugung
• Fruhester Starttermin: 06.02.2023

IHRE QUALIFIKATIONEN
• Wahrend Ihrer HELLA-Zeit sind Sie an einer Hochschule eingeschrieben und haben Ihre letzte Prufungsleistung noch nicht absolviert.
• Sie studieren Elektrotechnik,Mechatronik, Informatik oder einen vergleichbaren Studiengang.
• Sie besitzen Grundkenntnisse im Machine Learning sowie der Bildverarbeitung
• Die Matlab- und Python-Programmierung gehort zu Ihren Starken
• Sie sind begeisterungsfahig fur neue Technologien und arbeiten selbststandig
• Ein Fuhrerschein der Klasse B sollte ebenfalls vorhanden sein

Nutzen Sie die Gelegenheit und entfalten Sie Ihr Potenzial in einem weltweit agierenden Familienunternehmen, das Ihnen beste Voraussetzungen fur Ihren personlichen Karriereweg bietet.

HELLA GmbH & Co. KGaA

Benedict Stratmann
Rixbecker Strae 75
59552 Lippstadt
+49-2941-38-8969",https://www.ziprecruiter.de/jobs/202882261-abschlussarbeit-mit-praktikum-machine-learning-zur-erkennung-von-fahrzeugen-im-straenverkehr-bei-hella-gmbh-co-kgaa?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-09 18:18:20.086902 +00:00,2023-03-11 21:20:40.818509 +00:00
SOMAG AG Jena,Elektroingenieur (m/w/d),"Die SOMAG AG Jena ist ein mittelständisches Unternehmen, das sich auf die Entwicklung, Fertigung und den Vertrieb von Stabilisierungsplattformen für Anwendungen in der Luft, auf dem Wasser und zu Land spezialisiert hat. Das Unternehmen besitzt ein globales Vertriebsnetzwerk und einen breiten Kundenstamm in über 50 Ländern weltweit. Die SOMAG AG Jena ist heute Weltmarktführer für Ausgleichsplattformen im Bereich Luftbildphotogrammetrie und OEM-Lieferant führender Sensorhersteller. Angetrieben von dem Ziel, unseren Kunden zu einer bestmöglichen Datenerfassungsqualität zu verhelfen, arbeiten wir Tag für Tag an hochqualitativen Produkten und maßgeschneiderten Lösungen. Um diesem Anspruch gerecht zu werden, suchen wir ab sofort eine/n Mitarbeiter/in für unsere Entwicklungsabteilung in Vollzeit (35-40 Stunden pro Woche).*Deine Aufgaben: ** Konzipierung von elektronischen Schaltungen und Leiterplattenlayouts* Inbetriebnahme, Fehleranalyse und Qualitätskontrolle von elektronischen Komponenten und Einheiten* Erstellung, Revision und Dokumentation von Schaltplänen bzw. Leiterplattenlayouts* Hardwarenahe Programmierung von Mikrocontrollern mit C*Deine Qualifikationen: ** Abgeschlossenes Studium im Fachbereich Elektronik, Elektrotechnik, Mechatronik oder vergleichbarer Studiengang* Erste Erfahrungen mit E-Plan, EAGLE oder vergleichbarer Software wünschenswert* Grundkenntnisse mit C/C++ oder Python wünschenswert* Integrationsvermögen in bestehende Prozesslandschaften* Verlässliche, präzise und zielorientierte Arbeitsweise* Teamfähigkeit sowie ausgeprägte Kommunikationsbereitschaft* Technisches Verständnis und Abstraktionsvermögen* Sehr gute Deutschkenntnisse (C1) und gute Englischkenntnisse (B2)*Wir bieten Dir: ** Eine wertschätzende Arbeitsatmosphäre mit flachen Hierarchien* Weihnachtsgeld und Prämiensystem* Flexible Arbeitszeiten und die Möglichkeit zum Homeoffice für bestes Work-Life-Blending* Weiterbildungs- und Qualifizierungsmöglichkeiten* Betriebliche Altersvorsorge* Betriebliches Gesundheitsmanagement (Betriebsarzt, Gesundheitstage)* Regelmäßige Teamevents* Monatlicher Zuschuss zur Kinderbetreuung* Monatliches Einkaufsguthaben über Incentive Shopping Card* Kostenfreier Parkplatz*Haben wir Dein Interesse geweckt? *Nutze Deine Chance gemeinsam mit uns zu wachsen und werde Teil unserer Erfolgsgeschichte. Unter www.somag-ag.de/company/careers/ kannst du mehr über uns erfahren und Dich mit Deinem Lebenslauf und Qualifikationsnachweisen ganz einfach über unser Onlineformular bewerben. Alternativ schickst Du deine Bewerbung per E-Mail. Wir freuen uns darauf, Dich persönlich kennenzulernen.*Du hast Fragen zum Unternehmen oder zur Stelle? *Dann melde Dich gern bei:Franziska von SteinaeckerBack Office CoordinatorTel.: 03641/633 68 0Art der Stelle: VollzeitGehalt: ab 3.600,00€ pro MonatArbeitszeiten:* Gleitzeit* Montag bis FreitagLeistungen:* Betriebliche Altersvorsorge* Betriebliche Weiterbildung* Betriebsarzt* Betriebsfeiern* Erfolgsbeteiligung* Flexible Arbeitszeiten* Gleitzeit* Kostenlose Getränke* Kostenloser ParkplatzSonderzahlungen:* WeihnachtsgeldArbeitsort: Zum Teil im Homeoffice in 07745 Jena",https://jobs.techspot.com/job/elektroingenieur-mwd-1-at-somag-ag-jena?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-10 07:08:50.643012 +00:00,2023-03-14 04:01:45.478363 +00:00
Gebr. Heller Maschinenfabrik GmbH,Softwareentwickler (m/w/d),"Allgemeine Informationen

Kennziffer
10329-995
Beschreibung der Stelle
Fachbereich

Entwicklung - Entwicklung Steuerungstechnik
Bezeichnung der Stelle

Softwareentwickler (m/w/d)
Vertragsart

2-Unbefristet
Arbeitszeit

Vollzeit
Beschreibung der Aufgabe

_ Entwicklung von Softwarelösungen im Cloudbasierten Umfeld der Heller4Industry-Produkte
_ Entwicklung von Softwarelösungen für Edge-IPC‘s
_ Technische Abstimmung der Anforderungen mit Service und Produktmanagement
_ Durchführung von Softwaremodultests und Softwareintegrationstests
_ Erstellung von technischer Dokumentation
Anforderungen

_ Erfolgreich abgeschlossenes Studium der Fachrichtung Elektrotechnik, technische Informatik oder vergleichbare Fachrichtung
_ Gute Programmierkenntnisse in C#, C++, Java-Script, Type-Scipt, Python
_ Gute LINUX-Kenntnisse
_ Kenntnisse in den Technologien Azure, Docker, Datenbank (MongoDB), Angular und Git sind wünschenswert
_ Sicheres und kundenorientiertes Auftreten sowie strukturierte Arbeitsweise
 Innovatives Denken
_ Kommunikations- und Teamfähigkeit sowie interkulturelle Kompetenz und Reisebereitschaft
_ Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
Einsatzort der Stelle
Einsatzort

Gebrüder-Heller-Straße 15, 72622 Nürtingen
Betreut durch
Name des Personalreferenten

Cappas
Vorname des Personalreferenten

Marika",https://www.yourfirm.de/job/0bfws/softwareentwickler-mwd-nurtingen---14931645/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-09 14:02:01.134989 +00:00,2023-03-11 21:13:29.891956 +00:00
Codete GmbH,Data Engineer,"Codete is not just a software company, it's a place where tech-enthusiasts can grow by doing what they love and feel valued for what they are. We're experienced, agile and versatile: we work with a wide range of technologies in projects from many different industries, and the majority of our team are senior-level specialists.

At Codete, there's always something new to learn

Together with our technology partner, we are looking for a mid level Data Engineer who gets excited about building data
systems and wants to solve data centric problems unique to the field of social media driven e-commerce.

Location: Remote from EU countries, Germany-Berlin

Working hours / Part-time job: 20h/week

Tech stack: Python, Snowflake, DBT, Prefect (or Airflow), SQL, GCP cloud

Salary: PLN 7 000 - 9 000 per month / 1400 - 1900 Euro/month gross B2B

Requirements

In this role you will:

● Develop and maintain existing data systems and data pipelines

● Develop new data pipelines or acquire data from different sources to power analytics and some internal applications

● Optimize existing data processing architecture for scale

● Design and implement a testing & monitoring strategy for our data pipelines

● Serve as the point of contact and sparring partner for data analysts, product managers and other stakeholders

● Implement solutions to constantly improve data reliability and quality

Your profile (Required)
● 2-4 yrs of experience as a Data Engineer
● Strong Python skills
● Working experience with Snowflake (or another MPP database), DBT and Prefect (or Airflow)
● Good grasp of SQL, relational databases, and data modelling concepts
● Analytical mindset, high attention to detail, strange obsession with automation
● Ability to research and solve technical challenges
● Ability to translate business problems into effective data solutions
● Ability to see the bigger picture and write software that always addresses the business question posed
● Excellent English communication skills

Nice to have
○ Knowledge of HTML, JS, Google Analytics, GTM, and frontend tracking concepts
○ Practical experience with DevOps concepts - GCP cloud

Benefits

Values & Atmosphere

• flexible attitude (including working hours)
• international business trips
• social events & awaydays
• support for your ideas

Personal development

• external conferences
• technical & soft skills training
• switching between projects/technology
• English classes
• internal library

Health & Relax

• Employee Wellbeing Platform
• private health care
• multisport card
• sports events
• chill-out room
• fresh fruits & juicer

Knowledge & Culture

• open source initiatives
• Codete Mentorship Program
• R&D department

The data controller of your personal data is Codete Global Sp. z o.o. with its seat in Kraków (30-527), Poland, ul. Na Zjeździe 11. The data will be processed for recruitment purposes. To learn more please read an appropriate section of our Privacy Policy (Personal data provided for recruitment purposes",https://de.bebee.com/job/20230301-2510ea0cb53ab32a3294648191c33770?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2023-03-08 14:45:00.817805 +00:00,2023-03-10 21:42:55.346658 +00:00
